economy,gdp_current_usd,gdp_per_capita,inflation_rate,unemployment_rate,trade_percent_gdp,exports_percent_gdp,imports_percent_gdp,gross_savings_percent_gdp,education_expenditure_percent_gdp,health_expenditure_percent_gdp,population,urban_population_percent,manufacturing_value_added_per_capita,manufacturing_percent_gdp,industry_value_added_percent_gdp,medical_doctors,life_expectancy,infant_mortality_rate,probability_of_dying,air_pollution
SRB,71851526705.89508,10721.487384657816,6.936916318561399,8.5902,114.11186171284581,53.39258684868266,60.71927486416312,20.9194462163604,3.2108299732208234,9.2582209125,6721657.2,56.8908,9648272188.636072,14.362025087563476,24.23959725570236,30.99,75.62155242,4.925812716,26.4,557.609
SSA,1796078479743.3442,1627.577207296418,5.497421919801628,6.659652054763981,58.333622547294624,26.88220069383728,26.982403121245778,,3.2615984278555574,5.115245204260255,1104089253.2,44.69387009519756,213532517369.0852,11.8751387827708,27.748644399094083,,,,,
SSD,,,25.465772973241677,13.342500000000001,,,,,,7.8431594375,11202441.2,20.8628,,,,0.41,56.47971379,66.826418239,25.5,326.318
SSF,1913355048447.982,1556.819820931732,5.5692981744901635,6.340054057247076,56.714225555628126,25.862278381534416,26.53230136180698,19.1063508805712,3.3166404602764024,5.0025521036514355,1229639399.2,42.44850212156392,218866426371.56097,11.42717614499374,27.4122892476078,,,,,
SST,263170688435.702,13236.225553179062,3.2801994307467153,8.219635854638254,136.06061224318975,73.97426071886711,70.6784726792868,21.9407746288381,4.835691029585215,7.201477124678508,19850620.2,51.8517886154509,22539627074.830376,8.983216956062225,24.055709367317526,,,,,
STP,595938349.3830262,2621.061622995876,14.314714923174733,9.303799999999999,,,,,5.197985201241893,7.031081915,226421.6,75.7194,,,4.23856069412553,4.64,69.59341497,10.41859049,19.5,14.638
SUR,3596149599.4521513,5758.891131186102,42.85448121672614,8.0734,,,,,3.7541621617323377,6.6456899675,623338.8,66.3238,820472114.4219235,24.526731542861825,39.09194934848105,13.55,72.70139066,15.184857789,18.8,1.86
SVK,123970088525.01498,22804.79727451196,6.230050137735942,6.1659999999999995,180.9291746898088,90.10272515410934,90.82644953569958,17.50501446538006,4.6972832679748535,7.3832591775,5437327.0,53.937599999999996,20928513348.69178,16.921775121201723,28.03191300984842,36.97,78.01092046,4.530701852,16.6,1467.061
SVN,63295044137.826355,29930.54728135058,4.021682170162002,4.147,162.4864467192084,84.20350517690704,78.28294154230139,25.955405399723663,5.363776842753094,9.283517838,2113871.8,55.7644,12532184489.80022,19.8446928483689,28.71855033559582,33.67,80.41495666,1.980349204,8.1,60.647
SWE,591567599317.1771,56483.197054688644,4.482859430349261,8.108799999999999,98.40313116151914,51.08468006024674,47.31845110127242,31.14305779623884,7.6248900095621766,10.930482484,10472507.0,88.4842,80624679036.12558,13.61751952573284,22.93872736919614,44.08,81.02212976,1.826962104,9.2,128.169
SWZ,4628709844.658634,3797.7070838907603,,34.388400000000004,91.8513876830548,45.4477285696982,46.403659113356696,21.938306763649898,5.44409968664164,7.5205816025,1218313.4,24.5838,1297718788.10307,28.3822298724219,33.329311514161326,5.57,54.59266973,43.549378967,32.3,239.657
SXM,1497915010.8589041,35456.28573862224,,,,,,,4.09892170555004,,42163.4,100.0,15595782.122905001,1.206144487917225,6.5426162254613995,,,,,
SYC,1848538290.446736,16396.51859381988,2.57484510094394,,179.25548596324842,81.10177393719177,98.15371202605672,-1.7766254713316,4.29130263434953,4.9571733474999995,111745.0,58.3952,99126480.91387103,5.537378920714518,12.69120836035816,65.98,74.01196664,12.101952321,17.8,1.424
SYR,17504306185.909576,783.7534387079693,,13.897,47.2160961594195,12.003034975048493,35.213061184371,,,4.1281709074999995,22681564.8,56.7642,,,17.253432897701668,15.21,72.43803165,17.014879298,21.3,624.749
TCA,1394599200.0,30455.548273874105,,,,,,,3.053624737076916,,45641.8,94.0332,7062600.0,0.5131970607432844,9.962674135518247,,,4.222884559,,
TCD,17873348098.79324,956.8980237946118,5.843038208605477,1.3026,44.97775650649338,27.45038318789556,17.52737331859782,,2.857710750472705,4.13496643,18625291.0,24.0842,,,29.09741399704282,0.85,59.08581443,58.687529342,23.4,519.545
TEA,20875294225400.78,9909.181835578287,3.762138642783598,4.132028593037302,44.13601004045624,23.231681172501162,20.89964216485228,41.48710214088205,2.8503073128230927,5.20876011399156,2106232694.2,59.14811254082353,5246427260972.103,25.13886383815708,37.132167437807,,,,,
TEC,5092557925368.658,11043.90029312056,6.923717071940456,5.9306650818836655,66.6645786719748,35.60548467391254,33.43527417496382,26.445502569835742,4.090913222931728,6.222661970850103,461346657.2,67.00839082264082,771155619788.67,15.191543876876818,29.30689525840146,,,,,
TGO,8601799583.995493,944.157637997693,4.440995947343608,2.0822,60.50458750150447,24.15612900183456,36.3484584996699,21.0506318082178,4.058308570723172,5.9399770499999995,9091482.0,43.92659999999999,1051155810.9838415,12.716081373923899,20.13352913393578,0.8,66.41721819,39.463099021,27.9,933.504
THA,508923762845.292,7098.488260861011,1.723527022631147,0.9359999999999999,122.70225183907738,62.18700629508489,60.51524554399248,26.277749502953718,2.8170896066071425,4.66361046,71694918.2,52.88199999999999,131236650646.3046,25.80651880064368,33.71094115790338,5.41,75.29014364,8.047869053,17.6,1603.62
TJK,10846807787.91005,1060.5842909121916,,11.8938,64.66131352024287,18.762801491157397,45.898512029085474,40.51755912541743,5.088204504699668,7.9605599625,10175833.2,27.9914,1505714657.567095,15.094491155032376,34.32889344762465,18.7,73.49938753,25.783627811,18.1,1264.017
TKM,55933235490.723366,7720.882995974338,,4.2944,35.113733923487025,21.220099163550326,13.893634759936699,,3.4761375188827524,5.4968745725,7226216.8,53.50699999999999,,,38.55671329181955,19.3,65.70659259,35.613937101,21.4,2227.481
TLA,5941205122265.004,9296.586449318256,4.463237900173632,7.842408025649059,50.42420922507136,26.11599405869992,26.6219782520852,17.46841000167006,4.00441008458844,8.076642255836468,638230626.2,81.5732633923978,1021061119302.794,17.13152172162452,30.57486354983174,,,,,
TLS,2591457027.773232,1900.922029593324,4.336384435856745,1.9573999999999998,92.8850613323167,44.679725574948776,48.20533575736795,21.384835209400062,3.9557653310695664,10.4302623275,1366082.2,32.0774,33979700.0,1.3037571460849142,44.32982978836665,7.52,66.52957629,35.927039793,19.5,61.384
TMN,1961208539707.054,2751.383674706418,5.753802771034792,9.244120208730696,53.95457933766012,23.61735179137888,28.33970303347156,22.759196327095424,3.4069660373710335,4.915303266469805,711808658.0,51.7238247199144,250501408189.86526,13.05334080102975,33.05637870672426,,,,,
TON,510499867.2745857,4852.4668961328125,5.159382983018912,2.3132,79.77116625917564,15.370827224569524,64.40033903460613,25.981269444867475,5.173847422120496,6.6888709075,105001.6,23.1396,26146568.66437405,5.122610052606557,15.515960060647725,10.14,70.21465679,8.029374481,31.0,0.993
TSA,3909131788534.176,2368.005714831138,5.46338617610126,5.488810488139194,43.38824594173972,20.007663711769702,22.98438899687696,30.5188808292606,2.921341716162792,3.1848062825655523,1648766689.8,35.80024428614112,557243763834.8737,14.31292266188484,26.17326689903154,,,,,
TSS,1913355048447.982,1556.819820931732,5.5692981744901635,6.340054057247076,56.714225555628126,25.862278381534402,26.53230136180698,19.1063508805712,3.3166404602764024,5.002552103651433,1229639399.2,42.44850212156392,218866426371.56097,11.42717614499374,27.4122892476078,,,,,
TTO,25119462175.033478,18373.27899343022,2.7285574470270686,4.3582,,,,,3.2366149425506574,6.97410977,1367186.2,53.364,4047248312.89729,16.253850579593248,37.84514959312088,41.57,68.41079132,17.211429548,23.6,38.139
TUN,47224010995.474525,3893.0376326209284,7.2365150317052125,16.1752,102.34185635258716,46.56762528330414,55.774231069283076,7.004571776257346,6.870975046922617,6.753832935,12123910.6,70.2188,6707995764.195513,14.6679958102684,23.2752135296147,13.15,74.06842662,11.254881388,14.7,2565.02
